,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
4,Moti Dungri Mandir ,26.894818,75.815182,JLN Road ,https://www.facebook.com/pages/Motie-Dungri-Ganesh-Temple-Jaipur/377718742253504?rf,See," This temple, dedicated to Lord Ganesha, is the main centre of religion for Jaipur people. Moti Dungri, meaning Pearl Hill, is a small hill that hosts a temple and a palace. It is said that this temple was built before construction of the rest of the city was begun, so as to protect the city.","(26.894818, 75.815182)",wikivoyage,red
0,Gaitore ,26.942865,75.824643, , ,See,A royal cremation site of the rulers of Jaipur.,"(26.942865, 75.824643)",wikivoyage,red
0,Iswari Minar Swarga Sal ,26.923983,75.822642,Chandpol Bazaar near City Palace , ,See,"A minar (minaret) with great views of Jaipur. There is an alternative to the minar that's open 24/7. Just across the other side of the road (Chandpol Bazaar) from the minaret is a shopping complex with stairs up to a rooftop area where you can get basically the same view as from the minar. To get there, go through the arched gateway almost opposite the minar, then as soon as you get to the courtyard, look to the left for a metal spiral staircase and keep climbing until you reach the roof, walk around the corridor to the next set of stair and go up another floor until you know you can't go any higher.","(26.923983, 75.822642)",wikivoyage,red
1,Jantar Mantar ,26.924762,75.82456, ,http://museumsrajasthan.gov.in/mounment_Jantar-Mantar.htm ,See,This [[UNESCO World Heritage site,"(26.924762, 75.82456)",wikivoyage,red
2,Panna Meena Ka Kund Stepwell ,26.991105,75.851229, , ,See,"People come here to get water, swim or hang out with their loved ones.","(26.991105, 75.851229)",wikivoyage,red
0,Ram Niwas Garden ,26.9127378,75.8201801,exact city centre , ,See,"Built in 1868 by Maharaja Sawai Ram Singh of Jaipur, this garden contains a bird park, zoo, Ravindra Rang Manch Theatre, art gallery, exhibition ground, gymnasium and several cafes and picnic spots.","(26.9127378, 75.8201801)",wikivoyage,red
1,Sisodia Rani Palace and Garden,26.899164,75.859387, , ,See,"This palace was established by Sawai Jai Singh for his queen Sisodia, rulers of one of the oldest kingdoms of India. There are tiered multi-level gardens with fountains, watercourses and painted pavilions. A double-storeyed palace occupies the top terrace of the garden. The palace has many galleries, pavilions and beautiful murals depicting scenes from the life of lord Krishna.","(26.899164, 75.859387)",wikivoyage,red
2,Vidyadhar Garden,26.899791,75.853619, , ,See,The garden is a real treat for those who want to see a fusion of Mughal and Hindu culture.,"(26.899791, 75.853619)",wikivoyage,red
3,Zoological Garden,26.915,75.8223, , ,See,"In the serene environment of Ram Niwas Bagh, this garden is prized for its rich flora and fauna.","(26.915, 75.8223)",wikivoyage,red
0,Anokhi Museum of Hand Printing ,26.992622,75.850814, ,http://www.anokhi.com/museum/home.html ,See,"A beautiful clean museum dedicated to the traditional art of hand block printing textiles, this museum is housed in a restored heritage haveli tucked into the back streets of old Amber. Small cafe (see ""Eat""), clean toilets, small shop selling hand printed contemporary wearable clothes and textiles, friendly staff and a printer and block carver demonstrating their crafts every day.","(26.992622, 75.850814)",wikivoyage,red
1,Central Museum ,26.9117,75.8195,"Ramniwas Bag, Adarsh Nagar ",http://alberthalljaipur.gov.in ,See,"A fine example of Indo-Saracenic architecture, this building was designed by Sir Samuel Swinton Jacob and was opened as public museum in 1887. Maharaja Ram Singh wanted this building to be a town hall, but his successor, Madho Singh II, decided it should be a museum for the art of Jaipur and included as part of the new Ram Nivas Garden. The museum has a rich collection of artefacts like paintings, carpets, ivory, stone, metal sculptures and colourful crystal works. It is named after King Edward VII (Albert Edward), during whose visit to the city as the Prince of Wales, its foundation stone was laid on 6 February 1876.","(26.9117, 75.8195)",wikivoyage,red
0,Statue Circle ,26.9075,75.8056,"C-Scheme, Ashok Nagar ", ,See,Statue Circle is exactly what it sounds like: a roundabout that contains a statue that is beautifully lit up at night.,"(26.9075, 75.8056)",wikivoyage,red
0,Amber Fort ,26.985486,75.851345, ,http://www.tourism.rajasthan.gov.in/amber-palace.html ,See_Forts,"This massive fort-palace complex built in hybrid Hindu-Muslim style dates back to Raja Man Singh and was the royal palace of the Kachwahas from c. 1600-1727. It's one of six [[world heritage]] forts in Rajasthan. The name has nothing to do with the rather pretty pastel yellow colour; instead, the fort is named after the town of Amber, in turn named after the goddess Amba. The main sights within the fort include the ''Sheesh Mahal'', adorned with thousands on thousands of mirror tiles on the walls and ceiling. The fort/palace grounds are sprawling and the information panels (Hindi/English) are somewhat limited, so it might be worth getting an audio guide or a real guide. It's a bit of a hike up from the town, and the touristy thing to do is to ride on an elephant to the top (in order to get an elephant it is better to arrive there in the morning, otherwise at midday the elephants are done working; however, the road that the elephants walk on is not so long). If you hire a genuine guide, you will be taken not only to the Amber Fort but also to the Rajasthan Kala Mandir (a government operated shop) to buy souvenirs. Guides get a 2% commission on the items you buy there. Also see the ''Amber Light Show'' below. The site has come under scrutiny as tourists claim to have witnessed the elephants being beaten by handlers. If you walk up the hill to the Jaigarh Fort be prepared to pay the entry fee as the path terminates at a ticket window and there is no way around to the road.","(26.985486, 75.851345)",wikivoyage,red
1,Jaigarh Fort ,26.986654,75.845654, ,http://tourism.rajasthan.gov.in/jaipur#jaigarh-fort ,See_Forts,"Never conquered in battle, this was considered the strongest of the three forts in the area. It is best known as the site of the world's largest cannon, the ''Jaivana'', which was test-fired only once &mdash; according to legend, despite using only the half the design amount of gunpowder, the cannonball flew 35 km! A better reason to visit the fort, though, are the scenic gardens at the other end and the spectacular views over the Amber Fort and the hills around. The remains of the foundry where the Jaivana (and many more) were cast are also in the fort grounds. There are multiple boards with ""no tips allowed,"" in case someone is bothering you.","(26.986654, 75.845654)",wikivoyage,red
2,Nahargarh Fort ,26.939946,75.816768,"Krishna Nagar, Brahampuri ",http://tourismtravelindia.com/rajasthanportal/touristattractions/NAHARGARH.html ,See_Forts,"The smallest of the three forts, notable primarily for excellent views over Man Sagar lake and the vast sprawl of Jaipur. Built in 1734 by the Maharaja Sawai Jai Singh II in a mix of Indian and European styles, the fort also houses the (relatively) compact Madhavendra Bhawan palace, although its former splendour is fading under layers of graffiti and pigeon droppings. Some of the film ''Rang De Basanti'' were shot at this fort. To get to the area where the ""Pathshala"" song was shot, take a left turn as soon as you enter the fort. An autorickshaw can be taken from the stand in front of the Amber fort. The fort also houses the Jaipur's Wax Museum and Sheesh Mahal, although tickets for these have to be bought separately and are ridiculously expensive. Beware if buying the Wax Museum and Sheesh Mahal combo ticket, you'll be paraded through the largely unimpressive museum and then be told to queue for the Sheesh Mahal which can last from 30 minutes to 2 hours.","(26.939946, 75.816768)",wikivoyage,red
0,City Palace ,26.925,75.823,Jaleb Chowk ,https://royaljaipur.in/ ,See_Palaces,"An imposing blend of traditional Rajput and Mughal architecture. It is a vast palace complex occupying nearly one-seventh of the Pink City. It was built by Maharaja Jai Singh II. The complex is divided into a series of courtyards, sprawling gardens and buildings. It is home to several palatial structures like the '''Chandra Mahal''', (home to present Maharajah of Jaipur), '''Mubarak Mahal''' (housing a textile museum), '''Diwan-e-Khas''' (or Hall of Private audience housing the two largest silver vessels in the world, which are duly mentioned in the Guinness book), the '''Diwan-e-Aam''' ( or Hall of Public Audience) and the gateway '''Ridhi Sidhi Pol''' (with four small doorways decorated with motifs depicting the four seasons). Be warned that although they sell tickets for taking photos with a camera inside, most exhibits inside have a ""no photography"" sign.","(26.925, 75.823)",wikivoyage,red
0,--,26.9154576,75.8189817,,,See_Palaces,,"(26.9154576, 75.8189817)",wikivoyage,red
0,Jal Mahal ,26.953,75.846,Jal Mahal Amer Road , ,See_Palaces,This beautiful Jal Mahal or water palace was made by the King of Amber in the middle of the Man Sagar Lake. The Jal Mahal represents the use of Mughal and Rajput architecture style.,"(26.953, 75.846)",wikivoyage,red
0,Akshardham Temple ,26.90222,75.74062,Vaishali Nagar , ,See_Temples,,"(26.90222, 75.74062)",wikivoyage,red
0,Birla Mandir (aka The Marble Temple) ,26.8907,75.817689, ,http://www.jaipur.org.uk/temples/birla-temple.html ,See_Temples,"This is a relatively new temple made of white marble with beautiful carvings. It covers a vast area in Jaipur city and is built in a contemporary manner. Birla Temple is completely constructed with the finest high-quality white marbles. In addition to having statues and paintings of Hindu deities, the temple has pictures of famous philosophers from around the world including Socrates, Confucius and Zoroaster. No bags (besides purses), food, cameras. No photos allowed in the temple, but rules are not enforced outside.","(26.8907, 75.817689)",wikivoyage,red
0,Galtaji ,26.915718,75.863171,10 km from Jaipur on Jaipur-Agra highway near Sisodia Rani Garden ,http://galtaji.org/ ,See_Temples,"This temple is an ancient Hindu pilgrimage site. The main temple, Galtaji, is constructed in pink stone. The temple has a number of pavilions with rounded roofs, exquisitely carved pillars and painted walls. The temple is surrounded by natural springs and reservoirs that are considered holy. There are also seven tanks or ''kunds'' here. There are two routes to reach the temple: if you arrive from west you will have to hike uphill and downhill for about 20 minutes; the eastern gate is easily accessible by car, though it is a longer journey to get there.","(26.915718, 75.863171)",wikivoyage,red
1,Galwar Bagh ,26.91679,75.858903,Eastern edge of the city , ,See_Temples," Locals and tourists come here to feed the surprisingly tame monkeys, use the temples, and enjoy the views. You can climb to the top of the hill and then down into the valley to see the Monkey Temple, while enjoying the company of countless monkeys, goats and other animals. At the top of the hill, you turn right to reach the Sun Temple for one of the best views of the city, especially at sunset. Monkey food is available for purchase at the bottom of the hill. Entrance to the temples are free, but local religious people may ask for donations and there is a ₹50 charge for using a camera.","(26.91679, 75.858903)",wikivoyage,red
2,Govind Devji Temple ,26.928855,75.824086, ,http://www.govinddevji.net/ ,See_Temples,"For Vaishnavites, particularly followers of Lord Krishna, this is the most important temple in the world after Vrindavan. Lord Krishna presiding in the temple were brought to Jaipur from Vrindavan during Mughal rein. According to popular legend, Lord Krishna's idol in the temple looks exactly like Krishna's form while his incarnation of Earth. It is at Jainiwas Gardens, Jalebi Chowk, in the same campus as City Palace. The temple was constructed in 1590.","(26.928855, 75.824086)",wikivoyage,red
3,Jain Mandir ,26.923767,75.819993, , ,See_Temples," Jain temple in Shivdaspura, well known as “Bara Padampura”, famous in north India for its very beautiful statue of God Padamprabhu (The 6th Teerthankar for Jains). God is sitting in a crossed leg seating posture. The statue is 0.7 m high and made of pure white stone. It was found while digging for foundation of a house.","(26.923767, 75.819993)",wikivoyage,red
4,Moti Dungri Mandir ,26.894818,75.815182,JLN Road ,https://www.facebook.com/pages/Motie-Dungri-Ganesh-Temple-Jaipur/377718742253504?rf,See_Temples," This temple, dedicated to Lord Ganesha, is the main centre of religion for Jaipur people. Moti Dungri, meaning Pearl Hill, is a small hill that hosts a temple and a palace. It is said that this temple was built before construction of the rest of the city was begun, so as to protect the city.","(26.894818, 75.815182)",wikivoyage,red
0,Gaitore ,26.942865,75.824643, , ,See_Monuments,A royal cremation site of the rulers of Jaipur.,"(26.942865, 75.824643)",wikivoyage,red
0,Iswari Minar Swarga Sal ,26.923983,75.822642,Chandpol Bazaar near City Palace , ,See_Monuments,"A minar (minaret) with great views of Jaipur. There is an alternative to the minar that's open 24/7. Just across the other side of the road (Chandpol Bazaar) from the minaret is a shopping complex with stairs up to a rooftop area where you can get basically the same view as from the minar. To get there, go through the arched gateway almost opposite the minar, then as soon as you get to the courtyard, look to the left for a metal spiral staircase and keep climbing until you reach the roof, walk around the corridor to the next set of stair and go up another floor until you know you can't go any higher.","(26.923983, 75.822642)",wikivoyage,red
1,Jantar Mantar ,26.924762,75.82456, ,http://museumsrajasthan.gov.in/mounment_Jantar-Mantar.htm ,See_Monuments,This [[UNESCO World Heritage site,"(26.924762, 75.82456)",wikivoyage,red
2,Panna Meena Ka Kund Stepwell ,26.991105,75.851229, , ,See_Monuments,"People come here to get water, swim or hang out with their loved ones.","(26.991105, 75.851229)",wikivoyage,red
0,Ram Niwas Garden ,26.9127378,75.8201801,exact city centre , ,See_Gardens,"Built in 1868 by Maharaja Sawai Ram Singh of Jaipur, this garden contains a bird park, zoo, Ravindra Rang Manch Theatre, art gallery, exhibition ground, gymnasium and several cafes and picnic spots.","(26.9127378, 75.8201801)",wikivoyage,red
1,Sisodia Rani Palace and Garden,26.899164,75.859387, , ,See_Gardens,"This palace was established by Sawai Jai Singh for his queen Sisodia, rulers of one of the oldest kingdoms of India. There are tiered multi-level gardens with fountains, watercourses and painted pavilions. A double-storeyed palace occupies the top terrace of the garden. The palace has many galleries, pavilions and beautiful murals depicting scenes from the life of lord Krishna.","(26.899164, 75.859387)",wikivoyage,red
2,Vidyadhar Garden,26.899791,75.853619, , ,See_Gardens,The garden is a real treat for those who want to see a fusion of Mughal and Hindu culture.,"(26.899791, 75.853619)",wikivoyage,red
3,Zoological Garden,26.915,75.8223, , ,See_Gardens,"In the serene environment of Ram Niwas Bagh, this garden is prized for its rich flora and fauna.","(26.915, 75.8223)",wikivoyage,red
0,Anokhi Museum of Hand Printing ,26.992622,75.850814, ,http://www.anokhi.com/museum/home.html ,See_Museums,"A beautiful clean museum dedicated to the traditional art of hand block printing textiles, this museum is housed in a restored heritage haveli tucked into the back streets of old Amber. Small cafe (see ""Eat""), clean toilets, small shop selling hand printed contemporary wearable clothes and textiles, friendly staff and a printer and block carver demonstrating their crafts every day.","(26.992622, 75.850814)",wikivoyage,red
1,Central Museum ,26.9117,75.8195,"Ramniwas Bag, Adarsh Nagar ",http://alberthalljaipur.gov.in ,See_Museums,"A fine example of Indo-Saracenic architecture, this building was designed by Sir Samuel Swinton Jacob and was opened as public museum in 1887. Maharaja Ram Singh wanted this building to be a town hall, but his successor, Madho Singh II, decided it should be a museum for the art of Jaipur and included as part of the new Ram Nivas Garden. The museum has a rich collection of artefacts like paintings, carpets, ivory, stone, metal sculptures and colourful crystal works. It is named after King Edward VII (Albert Edward), during whose visit to the city as the Prince of Wales, its foundation stone was laid on 6 February 1876.","(26.9117, 75.8195)",wikivoyage,red
0,Statue Circle ,26.9075,75.8056,"C-Scheme, Ashok Nagar ", ,See_Other,Statue Circle is exactly what it sounds like: a roundabout that contains a statue that is beautifully lit up at night.,"(26.9075, 75.8056)",wikivoyage,red
0,Amber Fort Sound and Light Show ,26.987,75.8512,Lower Amber Fort , ,Do,"Experience the history, culture and life of Amber through this spectacular show. Amitabh Bachhan narrates the story of Rajasthani kings with a script written by Gulzar. Don't forget the mosquito repellent. The light show can be watched from outside the fort, but the sound won't be audible from there. There is also a sound and light show at Jantar Mantar for ₹100.","(26.987, 75.8512)",wikivoyage,red
1,--,26.9154576,75.8189817,,,Do,,"(26.9154576, 75.8189817)",wikivoyage,red
2,B.M. Birla Auditorium and Conference Hall ,26.906,75.8061,"Birla Institute of Scientific Research, Statue Circle ",http://www.bisr.res.in/audi/auditorium.php ,Do,"These are at the heart of Jaipur. This auditorium is spread over 9.8 acres and includes a computer centre, interactive science museum, an information processing centre, library, a processing planetarium, eight research divisions, a dissemination cell and an auditorium. The auditorium has a seating capacity of 1,350 and is among the largest in India. This auditorium is built up to international conference standards. However, people visiting Jaipur for leisure are likely to be most interested in the [http://www.bisr.res.in/planetarium.php Planetarium] (all shows in Hindi) or [http://www.bisr.res.in/museum.php Science Museum] (under renovation as of November 2015) that are part of the complex.","(26.906, 75.8061)",wikivoyage,red
3,Rajmandir Cinema ,26.9146,75.8098," C-16, Panch Batti, Bhagwan Das Rd, C-Scheme ",http://therajmandir.com/ ,Do,"An experience in itself, and another ""don't miss"". Once known as the best cinema India, and still the best in Rajasthan, it offers an overwhelming experience. From the pushing, shoving, and general chaos in the ticket queue, to an audience that laughs, cries, cheers, claps, and consistently talks through the entire film, the Rajmandir provides an insight into Rajasthani culture. The films can be interesting; ''Masala'' movies are action, drama, mystery, suspense, and epics all wrapped into one single film, teeming with dances and obligatory wet sari scenes, and unabashedly lifting generous amounts of plot devices from Western films. The theatre-goers are very friendly and genuinely curious about overseas visitors who come to the Raj. Don't be put off by ""House Full"" notices at the entrance. The box office opens again a nominal 45 minutes before the next performance, and there are usually tickets available. Box seats at ₹120 go first, so its worth going early to avoid disappointment. Shows at 12:30PM, 3:30PM, 6:30PM and 9:30PM. A great place to meet locals, with the nearby McDonald's as a central congregation spot.","(26.9146, 75.8098)",wikivoyage,red
4,Heiwa Heaven The Resort ,0.0,0.0,"Jaisinghpura Khor, Jamdoli Chauraha, Agra Rd ",https://www.heiwaheaven.com/ ,Do,Heiwa Heaven is a Jaipur-based luxury resort that hosts parties and destination weddings.,"(0, 0)",wikivoyage,red
0,Chokhi Dhani ,26.758,75.839,"12 Miles Tonk Road, Via Vatika ",https://chokhidhaniethnicvillage.hotvel.com ,Do,"Around 18 km from Central Jaipur on the Jaipur-[[Tonk]] highway, Chokhi Dhani (''Fine Hamlet'' in Rajasthani dialect) is a kind of virtual village and also a 5-star resort. There are lodging facilities available, but the real attraction is the evening fun-fairs. There are two excellent places to enjoy Rajasthani food served in the traditional mode at their resort. Chokhi Dhani a.k.a. Lalten Restaurant is a more popular place because it is on the main road near the airport and also has other attractions, such as horseback riding, camel riding, bullock cart rides, a maze, boating and kathputli (puppet) shows. You can also watch live folk dances and listen to live folk music for free. It gives the visitor a glimpse of culture from different parts of Rajasthan, and could be nice if you will not have time to see much of Rajasthan yourself. It opens at 5PM, and be sure to get there early as many of the sites are difficult to see when it gets dark. It's a 30-min rickshaw ride from Central Jaipur, or you can go there by bus or taxi, but you are best off making sure you have a ride back.<br />Consider buying the pass for AC hall, because the outdoor seating is a self-served buffet, while in the AC Dining you'll be served food. This makes a massive difference when there are too many people at the restaurant, as the restaurant is unable to keep up with the demand for buffet food.<br />If you would prefer to sleep at the resort, [https://chokhidhani.com/ethnic-resort-jaipur/ have a look at their accommodation]. Avoid going there during the rainy season.","(26.758, 75.839)",wikivoyage,red
0,--,26.9154576,75.8189817,,,Do,,"(26.9154576, 75.8189817)",wikivoyage,red
0,Chokhi Dhani ,26.758,75.839,"12 Miles Tonk Road, Via Vatika ",https://chokhidhaniethnicvillage.hotvel.com ,Do_Nearby,"Around 18 km from Central Jaipur on the Jaipur-[[Tonk]] highway, Chokhi Dhani (''Fine Hamlet'' in Rajasthani dialect) is a kind of virtual village and also a 5-star resort. There are lodging facilities available, but the real attraction is the evening fun-fairs. There are two excellent places to enjoy Rajasthani food served in the traditional mode at their resort. Chokhi Dhani a.k.a. Lalten Restaurant is a more popular place because it is on the main road near the airport and also has other attractions, such as horseback riding, camel riding, bullock cart rides, a maze, boating and kathputli (puppet) shows. You can also watch live folk dances and listen to live folk music for free. It gives the visitor a glimpse of culture from different parts of Rajasthan, and could be nice if you will not have time to see much of Rajasthan yourself. It opens at 5PM, and be sure to get there early as many of the sites are difficult to see when it gets dark. It's a 30-min rickshaw ride from Central Jaipur, or you can go there by bus or taxi, but you are best off making sure you have a ride back.<br />Consider buying the pass for AC hall, because the outdoor seating is a self-served buffet, while in the AC Dining you'll be served food. This makes a massive difference when there are too many people at the restaurant, as the restaurant is unable to keep up with the demand for buffet food.<br />If you would prefer to sleep at the resort, [https://chokhidhani.com/ethnic-resort-jaipur/ have a look at their accommodation]. Avoid going there during the rainy season.","(26.758, 75.839)",wikivoyage,red
0,--,26.9154576,75.8189817,,,Do_Festivals,,"(26.9154576, 75.8189817)",wikivoyage,red
0,Dhamma Thali Vipassana Meditation Centre ,0.0,0.0,"There are 8 locations in Jaipur, which you can see [http://www.thali.dhamma.org/courses.shtml here], along with contact information of instructors ",http://www.thali.dhamma.org/ ,Learn,1- to 45-day meditation courses (10-day residential courses are given for new students) run for a donation.,"(0, 0)",wikivoyage,red
