,ao_link,lat,lon,itemLabel,description,tier,color
43,https://www.atlasobscura.com/places/column-of-the-goths,41.01449,28.985463,Column of the Goths,"This column celebrates Rome's victory over the Goths, and may be the oldest Roman monument in Istanbul.",atlas_obscura,gold
47,https://www.atlasobscura.com/places/the-spoonmakers-diamond-istanbul-turkey,41.011543,28.983378,The Spoonmaker's Diamond,No one is sure if the world's fourth-largest diamond had been found in a rubbish heap or was pawned by Napoleon's mom.,atlas_obscura,gold
48,https://www.atlasobscura.com/places/serpent-column,41.005639,28.975132,Serpent Column,Ancient serpentine sacrifice holder that has stood the test of time.,atlas_obscura,gold
49,https://www.atlasobscura.com/places/istanbul-2461,41.011343,28.98031,Istanbul 2461,Quite possibly the oldest love poem known to humankind.,atlas_obscura,gold
51,https://www.atlasobscura.com/places/vedat-tek-house,41.050401,28.989358,Vedat Tek House,The eclectic home of a leading Turkish architect is a gorgeous piece of eye candy.,atlas_obscura,gold
54,https://www.atlasobscura.com/places/orient-express-museum-at-sirkeci-terminal,41.015237,28.977123,Istanbul Railway Museum at Sirkeci Terminal,The legendary luxury train passage is commemorated with a charming museum inside its former eastern terminus.,atlas_obscura,gold
55,https://www.atlasobscura.com/places/beylerbeyi-palace,41.043,29.04,Beylerbeyi Palace,This former Imperial summer home was the venue for a royal slap that once echoed 'round the world.,atlas_obscura,gold
57,https://www.atlasobscura.com/places/museum-of-energy,41.066406,28.94668,Museum of Energy,This shuttered power plant is now Turkey's first industrial archaeology museum.,atlas_obscura,gold
59,https://www.atlasobscura.com/places/theodosian-wall-stone-ladder,41.031442,28.933987,Theodosian Wall Stone Ladder,Climb a set of vertiginous stone steps to the top of this impressive ancient edifice.,atlas_obscura,gold
61,https://www.atlasobscura.com/places/pera-palace-hotel,41.03114,28.973635,Pera Palace Hotel,This historic hotel preserves many treasures from its heyday hosting passengers on the Orient Express.,atlas_obscura,gold
67,https://www.atlasobscura.com/places/yeralti-camii-underground-mosque,41.022533,28.976539,Yeralti Camii (Underground Mosque),A surprising and unconventional mosque hidden in the subsoil of Istanbul.,atlas_obscura,gold
79,https://www.atlasobscura.com/places/bar-at-biz-istanbul,41.036636,28.987797,Bar at Biz Istanbul,Eat your way through history.,atlas_obscura,gold
81,https://www.atlasobscura.com/places/kanaat-lokantasi-istanbul,41.025849,29.01651,Kanaat Lokantasi,This family-owned canteen has been selling goat milk ice cream since 1933.,atlas_obscura,gold
83,https://www.atlasobscura.com/places/taksim-mosque,41.036949,28.984136,Taksim Mosque,One of the newest mosques in a city filled with thousands.,atlas_obscura,gold
84,https://www.atlasobscura.com/places/siirt-seref-buryan-istanbul,41.017211,28.95338,Siirt Şeref Büryan,"Come for the whole sides of slow-roasted lamb, stay for the regional Kurdish specialties.",atlas_obscura,gold
85,https://www.atlasobscura.com/places/baris-manco-house-and-museum,40.981824,29.024992,Baris Manco House and Museum,"The home-turned-museum of Barış Manço, the mustachioed Turkish Elvis for children.",atlas_obscura,gold
87,https://www.atlasobscura.com/places/isa-yusuf-alptekin-park,41.005052,28.975042,Isa Yusuf Alptekin Park,A tiny park in the middle of some big power politics.,atlas_obscura,gold
88,https://www.atlasobscura.com/places/meryem-ana-rum-ortodoks-kilesesi,41.029633,28.949228,Meryem Ana Rum Ortodoks Kilesesi,It's believed that this small church was connected to the Hagia Sophia via a secret tunnel.,atlas_obscura,gold
90,https://www.atlasobscura.com/places/buuzecedi-istanbul,41.020745,28.94244,Buuzecedi,Homesick Syrian refugees head to this restaurant for a taste of Damascus.,atlas_obscura,gold
94,https://www.atlasobscura.com/places/golden-horn-metro-bridge,41.022543,28.966706,Haliç Metro Bridge,Taking the subway here means doing so over a bridge located in the middle of an estuary.,atlas_obscura,gold
98,https://www.atlasobscura.com/places/palace-of-the-porphyrogenitus-tekfur-sarayi-muzesi-istanbul-turkey,41.035439,28.942675,Palace of the Porphyrogenitus,"Byzantine emperors ruled, lived, and died in this 13th-century palace-turned-museum.",atlas_obscura,gold
99,https://www.atlasobscura.com/places/inciralti-meyhanesi-istanbul,41.044896,29.044675,Inciralti Meyhanesi,Wash down heaping platters of meze with raki at one of the city's best taverns.,atlas_obscura,gold
103,https://www.atlasobscura.com/places/lacivert-istanbul,41.091349,29.066516,Lacivert,Feast on the freshest of fish by the Bosphorus.,atlas_obscura,gold
108,https://www.atlasobscura.com/places/column-of-marcian,41.012191,28.951409,Column of Marcian,The only Roman honorific column in Istanbul.,atlas_obscura,gold
112,https://www.atlasobscura.com/places/column-of-arcadius,41.007796,28.943003,Base of the Column of Arcadius,A massive marble pedestal is all that remains of a column that towered over Constantinople for 1300 years.,atlas_obscura,gold
119,https://www.atlasobscura.com/places/semsi-pasha-mosque,41.025005,29.029263,Şemsi Pasha Mosque,An Ottoman-era mosque looking over the Black Sea.,atlas_obscura,gold
130,https://www.atlasobscura.com/places/sakirin-mosque-istanbul,41.013309,29.024329,Şakirin Mosque,A mosque with distinctive modern features.,atlas_obscura,gold
139,https://www.atlasobscura.com/places/asitane-restaurant,41.031043,28.938893,Asitane Restaurant,This eatery re-creates dishes from the Ottoman Empire so you can dine like a sultan.,atlas_obscura,gold
140,https://www.atlasobscura.com/places/galata-house-restaurant,41.024837,28.973396,Galata House Restaurant,"Housed in an old British jail, this spot serves up Georgian, Russian, and Ukrainian specialities with a side of Turkish history.",atlas_obscura,gold
